numBoids;framerate;executionTime(ms)
7500;14;69,4644
7500;14;67,5589
7500;14;67,2263
7500;16;61,7963
7500;16;59,4440
7500;14;71,2996
7500;14;68,3533
7500;14;66,7048
7500;13;73,7972
7500;12;80,2673
7500;12;76,9847
7500;11;83,9005
7500;12;82,5853
7500;13;72,3573
7500;14;69,2594
7500;14;68,4142
7500;12;77,1572
7500;12;81,5101
7500;13;71,7607
7500;12;77,7648
7500;12;78,8268
7500;11;83,5524
7500;12;83,0152
7500;11;87,0815
7500;12;82,7216
10000;10;97,1571
10000;8;118,4816
10000;9;106,1567
10000;9;108,5448
10000;9;110,4783
10000;9;110,9792
10000;9;101,1564
10000;10;97,5483
10000;9;102,3379
10000;9;109,2118
10000;9;103,1909
10000;9;108,3691
10000;10;99,6476
10000;9;103,6260
10000;8;112,9510
10000;9;103,2449
10000;9;110,9460
10000;9;105,6729
10000;9;105,2057
10000;8;124,2585
10000;8;111,4538
10000;9;103,8411
10000;9;102,3035
10000;8;112,1601
10000;9;106,6413
10000;9;103,0246
10000;9;107,8828
10000;9;104,8948
10000;8;115,5524
10000;8;119,1046
10000;8;114,9177
10000;8;122,2943
10000;8;117,6266
10000;8;116,5583
10000;7;135,7494
10000;7;134,2368
10000;8;124,9886
10000;7;127,9482
10000;7;128,8127
10000;7;135,0299
10000;7;128,9083
10000;8;115,8590
10000;8;120,9011
10000;7;132,5065
10000;6;150,7235
10000;6;150,6815
10000;5;169,7064
10000;7;138,5408
10000;7;138,6116
10000;7;132,5088
10000;7;132,1725
